,Product_Name,Product_Brand,Product_Price,Product_Link
0,Air Jordan 5 Retro SP sneakers,Nike X Off-White,"$1,526",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
1,Antei low-top sneakers,Raf Simons,$623,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
2,Air Rubber Dunk sneakers,Nike X Off-White,$612,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
3,mesh-panel low-top sneakers,Y-3,$731,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
4,Greca Rhegis leather boots,Versace,"$1,291",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
5,Lydon leather boots,Officine Creative,$877,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
6,buckle-strap leather Chelsea boots,Valentino Garavani,"$1,049",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
7,buckle-detail ankle boots,Jil Sander,"$1,339",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
8,Oversized lace-up sneakers,Alexander McQueen,$807,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
9,x Chromat Instapump Fury sneakers,Reebok,$255,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
10,Out Of Office low-top sneakers,Off-White,$623,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
11,Rockrunner low-top sneakers,Valentino Garavani,$680,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
12,platform penny loafers,Marni,$951,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
13,square-toe loafers,Martine Rose,$624,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
14,tassel loafers,Tod's,$862,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
15,tabi toe mocassins,Maison Margiela,"$1,381",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
16,Nord leather combat boots,Jimmy Choo,$650,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
17,lace-up leather boots,Ann Demeulemeester,"$1,285",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
18,Ultrapace R sneakers,Gucci,$968,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
19,Royale Mondial sneakers,Philippe Model Paris,$471,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
20,Java low-top sneakers,Jimmy Choo,$495,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
21,Miles loafers,Malone Souliers,$901,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
22,crystal-embellished Saul slippers,Jimmy Choo,"$4,525",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
23,Tabi loafers,Maison Margiela,"$1,310",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
24,"SB Dunk High ""Doraemon"" sneakers",Nike,$849,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
25,Hawaii low-top sneakers,Jimmy Choo,$525,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
26,contrast panel detail sneakers,Off-White,$844,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
27,"Air Jordan 14 Retro ""Hyper Royal"" sneakers",Jordan,$425,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
28,Chelsea boots,Scarosso,$471,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
29,ankle-length Turing boots,Jimmy Choo,"$1,175",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
30,Lukas Western boots,Saint Laurent,"$1,590",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
31,Diamond low-top sneakers,Jimmy Choo,$695,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
32,Giggies low-top sneakers,Valentino Garavani,$768,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
33,Performa low-top sneakers,Rick Owens DRKSHDW,$799,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
34,"x Union Air Jordan 4 SP ""Off-Noir"" sneakers",Jordan,"$1,231",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
35,Giggies Lovers Language low-top sneakers ,Valentino Garavani,$727,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
36,Godzilla low-top chunky sneakers,Philipp Plein,$765,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
