,Product_Name,Product_Price,Product_Link
0,O'Neill T-Shirt,"19,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
1,Jack's Base Regular Fit T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
2,O'Neill T-Shirt,"19,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
3,Jack's Base Regular Fit T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
4,O'Neill T-Shirt,"19,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
5,Jack's Base Regular Fit T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
6,Jack's Base Regular Fit T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
7,Wave T-Shirt,"19,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
8,Jack's Utility T-Shirt,"25,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
9,Wave T-Shirt,"19,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
10,Jack's Base T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
11,Jack's Base T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
12,Triple Stack Polo,"39,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
13,Jack's Base T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
